Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
0,25.64554476737976,254.0,1,1,594,79,2,200,small,False
1,24.675698041915894,254.0,1,1,594,84,2,0,small,False
2,0.6730000972747803,235.0,1,1,40,79,1,0,small,False
3,13.077618598937988,459.0,1,1,40,79,1,100,small,False
4,0.884061336517334,236.0,1,1,40,79,1,200,small,False
5,25.458016395568848,382.0,1,1,722,96,2,300,small,False
6,25.223249673843384,253.0,1,1,593,79,2,100,small,False
7,25.523932456970215,254.0,1,1,594,102,2,0,small,False
8,25.670008182525635,254.0,1,1,594,85,2,0,small,False
9,21.45514154434204,429.0,1,1,40,79,1,100,small,False
10,45.15494990348816,382.0,1,1,722,101,2,400,small,False
11,33.95192551612854,254.0,1,1,594,89,2,0,small,False
12,27.650245904922485,251.0,1,1,591,106,2,100,small,False
13,26.876506090164185,382.0,1,1,722,101,2,200,small,False
14,26.865779161453247,254.0,1,1,594,102,2,0,small,False
15,27.259284019470215,253.0,1,1,593,89,2,0,small,False
16,27.219231367111206,254.0,1,1,594,79,2,0,small,False
17,20.488293170928955,421.0,1,1,40,79,1,100,small,False
18,0.8649928569793701,227.0,1,1,40,79,1,0,small,False
19,27.365429401397705,253.0,1,1,594,99,2,100,small,False
20,0.9137866497039795,231.0,1,1,40,79,1,0,small,False
21,16.825546264648438,486.0,1,1,40,79,1,0,small,False
22,40.80442571640015,254.0,1,1,594,101,2,0,small,False
23,45.621169090270996,254.0,1,1,594,89,2,0,small,False
24,16.60039186477661,497.0,1,1,40,79,1,100,small,False
25,6.530962944030762,566.0,1,1,40,79,1,400,small,False
26,28.1357901096344,381.0,1,1,722,79,2,200,small,False
27,5.840251922607422,583.0,1,1,40,79,1,0,small,False
28,0.8269984722137451,235.0,1,1,40,79,1,0,small,False
0,1.9269020557403564,244.0,1,1,40,79,1,0,small,False
1,0.7340011596679688,235.0,1,1,40,79,1,0,small,False
